ScratchFileBuffer.ScratchFileBuffer( ScratchFile pageHandler );0;1;6
ScratchFileBuffer.addPage( );9;4;24
ScratchFileBuffer.available( );4;1;4
ScratchFileBuffer.checkClosed( );4;2;7
ScratchFileBuffer.clear( );3;2;14
ScratchFileBuffer.close( );4;2;12
ScratchFileBuffer.ensureAvailableBytesInPage( boolean addNewPageIfNeeded );7;5;25
ScratchFileBuffer.finalize( );4;3;14
ScratchFileBuffer.getPosition( );3;1;4
ScratchFileBuffer.isClosed( );4;1;3
ScratchFileBuffer.isEOF( );4;1;4
ScratchFileBuffer.length( );2;1;3
ScratchFileBuffer.peek( );4;2;8
ScratchFileBuffer.read( );9;3;12
ScratchFileBuffer.read( byte [ ] b );2;1;3
ScratchFileBuffer.read( byte [ ] b , int off , int len );15;4;24
ScratchFileBuffer.readFully( int length );7;3;14
ScratchFileBuffer.rewind( int bytes );3;1;3
ScratchFileBuffer.seek( long seekToPosition );18;8;32
ScratchFileBuffer.write( byte [ ] b );1;1;3
ScratchFileBuffer.write( byte [ ] b , int off , int len );9;3;19
ScratchFileBuffer.write( int b );5;2;10
