PDFRenderer.PDFRenderer( PDDocument document );1;2;8
PDFRenderer.accept( PDAnnotation annotation );3;1;3
PDFRenderer.createDefaultRenderingHints( Graphics2D graphics );4;3;11
PDFRenderer.createPageDrawer( PageDrawerParameters parameters );4;1;5
PDFRenderer.getAnnotationsFilter( );2;1;3
PDFRenderer.getDefaultDestination( );2;1;3
PDFRenderer.getImageDownscalingOptimizationThreshold( );2;1;3
PDFRenderer.getPageImage( );2;1;3
PDFRenderer.getRenderingHints( );2;1;3
PDFRenderer.hasBlendMode( PDPage page );8;5;21
PDFRenderer.isBitonal( Graphics2D graphics );10;4;18
PDFRenderer.isGoodVersion( String version , String regex , int min );7;5;19
PDFRenderer.isGroupEnabled( PDOptionalContentGroup group );6;2;4
PDFRenderer.isMinJdk8( );8;5;18
PDFRenderer.isSubsamplingAllowed( );2;1;3
PDFRenderer.renderImage( int pageIndex );2;1;3
PDFRenderer.renderImage( int pageIndex , float scale );2;1;3
PDFRenderer.renderImage( int pageIndex , float scale , ImageType imageType );5;2;4
PDFRenderer.renderImage( int pageIndex , float scale , ImageType imageType , RenderDestination destination );23;9;60
PDFRenderer.renderImageWithDPI( int pageIndex , float dpi );3;1;3
PDFRenderer.renderImageWithDPI( int pageIndex , float dpi , ImageType imageType );4;1;3
PDFRenderer.renderPageToGraphics( int pageIndex , Graphics2D graphics );2;1;3
PDFRenderer.renderPageToGraphics( int pageIndex , Graphics2D graphics , float scale );2;1;3
PDFRenderer.renderPageToGraphics( int pageIndex , Graphics2D graphics , float scaleX , float scaleY );4;2;4
PDFRenderer.renderPageToGraphics( int pageIndex , Graphics2D graphics , float scaleX , float scaleY , RenderDestination destination );6;2;13
PDFRenderer.setAnnotationsFilter( AnnotationFilter annotationsFilter );2;1;3
PDFRenderer.setDefaultDestination( RenderDestination defaultDestination );2;1;3
PDFRenderer.setImageDownscalingOptimizationThreshold( float imageDownscalingOptimizationThreshold );1;1;3
PDFRenderer.setRenderingHints( RenderingHints renderingHints );2;1;3
PDFRenderer.setSubsamplingAllowed( boolean subsamplingAllowed );1;1;3
PDFRenderer.suggestKCMS( );7;7;26
PDFRenderer.transform( Graphics2D graphics , PDPage page , float scaleX , float scaleY );4;5;27
