144,1
145,1
157,1
159,1
161,1
179,3
207,1
208,1
219,2
227,1
228,1
235,1
236,1
243,1
244,1
251,1
263,3
272,1
275,2
299,6
304,1
306,1
328,2
329,2
339,2
341,1
346,2
348,1
351,2
361,1
364,1
369,1
377,2
380,2
382,1
396,1
398,1
404,1
410,2
421,1
428,1
436,1
438,1
445,1
450,2
454,1
460,1
471,4
491,5
496,2
501,6
504,2
505,3
507,1
508,1
548,4
551,1
565,2
568,2
570,1
576,1
581,1
586,1
593,1
599,1
604,1
608,2
613,2
616,1
619,1
624,5
639,3
640,5
642,1
648,2
652,2
654,1
658,1
661,2
665,1
667,1
680,1
685,2
695,2
696,1
700,1
701,2
707,2
708,1
709,1
710,2
712,1
714,1
715,1
719,1
724,1
729,1
730,1
744,1
745,1
752,1
759,1
770,1
774,2
775,2
786,1
791,2
796,2
797,1
799,2
801,1
812,3
816,3
820,2
822,1
827,1
829,1
830,2
837,1
850,2
861,1
876,1
887,3
888,1
896,1
899,1
900,1
927,3
936,2
939,1
950,3
956,1
961,1
970,1
974,1
983,1
998,1
1000,5
1001,2
1014,1
1024,1
1031,1
1037,1
1043,1
1049,1
1050,1
1055,1
1061,1
1062,2
1066,1
1076,1
1083,2
1084,1
1089,1
1096,1
1112,2
1113,1
1138,1
1143,5
1155,1
1157,2
1165,1
1167,2
1168,1
1169,3
1170,1
1180,2
1182,2
1185,1
1226,1
1244,4
1246,1
1248,2
1249,1
1253,1
1257,3
1267,3
1270,1
1273,3
1274,1
1277,2
1279,1
1280,1
1292,1
1306,1
1308,1
1309,1
1310,1
1312,5
1316,1
1317,1
1318,3
1327,4
1329,1
1341,3
1345,1
1349,1
1382,2
1384,2
1387,2
1388,2
1389,1
1393,2
1399,2
1400,1
1403,2
1409,2
1410,1
1413,2
1419,2
1420,1
1423,6
1426,1
1431,2
1433,2
1451,2
1453,1
1458,1
1459,2
1461,2
1462,1
1463,2
1464,1
1465,1
1481,2
1483,1
1485,2
1488,2
1493,3
1497,2
1505,1
1519,5
1524,2
1546,2
1559,2
1564,1
1569,1
1571,2
1585,1
1589,1
1590,2
1594,1
1595,1
1600,1
1604,2
1608,2
1610,1
1611,1
1617,3
1683,1
1685,1
1700,1
1709,1
1710,1
1712,1
1713,1
1722,1
1725,4
1726,1
1737,2
1744,1
1751,1
1752,1
1761,2
1762,1
1764,3
1769,1
1775,1
1787,2
1788,1
1789,1
1790,1
1792,1
1794,1
1797,2
1811,1
1838,1
1845,1
1850,3
1855,2
1858,2
1862,3
1882,1
1883,1
1887,1
1888,1
1892,1
1893,1
1898,4
1899,4
1905,4
1914,2
1921,2
1926,1
1944,1
1959,3
1960,1
1962,1
1965,5
1980,1
1981,1
1983,1
1988,2
1989,1
1993,3
1998,2
2000,1
2018,3
2019,2
2024,1
2027,1
2035,1
2047,1
2079,2
2082,1
2091,1
