***not in a method***;5;1;0
PageDrawer.PageDrawer( PageDrawerParameters parameters );0;1;9
PageDrawer.accept( PDAnnotation annotation );3;1;3
PageDrawer.adjustImage( BufferedImage gray );11;1;16
PageDrawer.adjustRectangle( Rectangle2D r );6;1;8
PageDrawer.appendRectangle( Point2D p0 , Point2D p1 , Point2D p2 , Point2D p3 );5;1;7
PageDrawer.applySoftMaskToPaint( Paint parentPaint , PDSoftMask softMask );22;9;46
PageDrawer.applyTransferFunction( BufferedImage image , COSBase transfer );36;8;82
PageDrawer.beginMarkedContentSequence( COSName tag , COSDictionary properties );10;5;15
PageDrawer.beginText( );1;1;4
PageDrawer.beginTextClip( );2;1;3
PageDrawer.clampColor( float color );4;3;3
PageDrawer.clip( int windingRule );1;1;3
PageDrawer.closePath( );1;1;3
PageDrawer.createGlyph2D( PDFont font );17;10;48
PageDrawer.createStrokedShape( Shape p );4;1;3
PageDrawer.curveTo( float x1 , float y1 , float x2 , float y2 , float x3 , float y3 );1;1;3
PageDrawer.drawBufferedImage( BufferedImage image , AffineTransform at );32;10;56
PageDrawer.drawGlyph2D( Glyph2D glyph2D , PDFont font , int code , Vector displacement , AffineTransform at );20;13;44
PageDrawer.drawImage( PDImage pdImage );31;18;116
PageDrawer.drawPage( Graphics g , PDRectangle pageSize );6;2;16
PageDrawer.drawTilingPattern( Graphics2D g , PDTilingPattern pattern , PDColorSpace colorSpace , PDColor color , Matrix patternMatrix );8;1;22
PageDrawer.endMarkedContentSequence( );3;2;6
PageDrawer.endPath( );5;3;13
PageDrawer.endText( );1;1;3
PageDrawer.endTextClip( );5;4;15
PageDrawer.fillAndStrokePath( int windingRule );1;1;6
PageDrawer.fillPath( int windingRule );8;7;35
PageDrawer.getAnnotationFilter( );2;1;3
PageDrawer.getCurrentPoint( );2;1;3
PageDrawer.getDashArray( PDLineDashPattern dashPattern );16;11;39
PageDrawer.getGraphics( );2;1;3
PageDrawer.getJavaVersion( );4;4;18
PageDrawer.getLinePath( );2;1;3
PageDrawer.getNonStrokingPaint( );2;1;5
PageDrawer.getPaint( PDColor color );16;7;43
PageDrawer.getRenderer( );2;1;3
PageDrawer.getStroke( );6;4;34
PageDrawer.getStrokingPaint( );2;1;5
PageDrawer.getSubsampling( PDImage pdImage , AffineTransform at );12;5;17
PageDrawer.hasBlendMode( PDTransparencyGroup group , Set < COSBase > groupsDone );10;10;43
PageDrawer.intersectShadingBBox( PDColor color , Area area );6;4;18
PageDrawer.isAllZeroDash( float [ ] dashArray );6;4;14
PageDrawer.isContentRendered( );3;1;3
PageDrawer.isHiddenOCG( PDPropertyList propertyList );6;6;23
PageDrawer.isHiddenOCMD( PDOptionalContentMembershipDictionary ocmd );9;14;53
PageDrawer.isRectangular( GeneralPath path );16;12;50
PageDrawer.lineTo( float x , float y );1;1;3
PageDrawer.moveTo( float x , float y );1;1;3
PageDrawer.setAnnotationFilter( AnnotationFilter annotationFilter );2;1;3
PageDrawer.setClip( );5;4;18
PageDrawer.setRenderingHints( );1;1;3
PageDrawer.shadingFill( COSName shadingName );17;5;43
PageDrawer.showAnnotation( PDAnnotation annotation );20;15;51
PageDrawer.showFontGlyph( Matrix textRenderingMatrix , PDFont font , int code , Vector displacement );4;1;6
PageDrawer.showForm( PDFormXObject form );2;3;10
PageDrawer.showTransparencyGroup( PDTransparencyGroup form );22;9;67
PageDrawer.showType3Glyph( Matrix textRenderingMatrix , PDType3Font font , int code , Vector displacement );5;2;8
PageDrawer.strokePath( );1;2;11
TransparencyGroup.TransparencyGroup( PDTransparencyGroup form , boolean isSoftMask , Matrix ctm , PDColor backdropColor );36;14;134
TransparencyGroup.create2ByteGrayAlphaImage( int width , int height );9;1;13
TransparencyGroup.getBBox( );2;1;3
TransparencyGroup.getBounds( );10;1;8
TransparencyGroup.getImage( );2;1;3
TransparencyGroup.isGray( PDColorSpace colorSpace );3;4;18
