***not in a method***;2;1;0
PDICCBased.PDICCBased( COSArray iccArray );3;1;8
PDICCBased.PDICCBased( PDDocument doc );2;1;6
PDICCBased.checkArray( COSArray iccArray );6;3;10
PDICCBased.clampColors( ICC_ColorSpace cs , float [ ] value );7;4;10
PDICCBased.create( COSArray iccArray , PDResources resources );22;9;23
PDICCBased.ensureDisplayProfile( ICC_Profile profile );6;3;13
PDICCBased.fallbackToAlternateColorSpace( Exception e );4;3;14
PDICCBased.getAlternateColorSpace( );8;7;43
PDICCBased.getColorSpaceType( );5;5;17
PDICCBased.getDefaultDecode( int bitsPerComponent );10;3;17
PDICCBased.getInitialColor( );2;1;3
PDICCBased.getMetadata( );2;1;3
PDICCBased.getName( );3;1;3
PDICCBased.getNumberOfComponents( );6;4;17
PDICCBased.getPDStream( );2;1;3
PDICCBased.getRangeForComponent( int n );10;3;8
PDICCBased.intToBigEndian( int value , byte [ ] array , int index );7;1;6
PDICCBased.isMinJdk8( );8;5;18
PDICCBased.isSRGB( );2;1;3
PDICCBased.is_sRGB( ICC_Profile profile );5;1;6
PDICCBased.loadICCProfile( );6;11;75
PDICCBased.setAlternateColorSpaces( List < PDColorSpace > list );4;2;8
PDICCBased.setMetadata( COSStream metadata );2;1;3
PDICCBased.setNumberOfComponents( int n );1;1;4
PDICCBased.setRangeForComponent( PDRange range , int n );15;3;15
PDICCBased.toRGB( float [ ] value );4;3;14
PDICCBased.toRGBImage( WritableRaster raster );6;2;10
PDICCBased.toRawImage( WritableRaster raster );6;2;7
PDICCBased.toString( );4;1;3
